Título,Info,postingpills,Precio,postingcardexpenses,Localización,Palabras_clave,publisherlogo_URL,gotoposting,Descripción,Superficie,Recamaras,Baños,Estacionamiento
Zona Diamante,+ 1,,"MN 50,000",,"Fraccionamiento Granjas del Márquez, Acapulco de Juárez","213 m²
3 rec.
3 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/mib-soluciones-inmobiliarias_50007293-inmuebles.html,"Departamento en Renta en Zona Diamante Acapulco, Guerrero","Precioso departamento en la zona diamante de acapulco, guerrero. Recien remodelado, baños Y cocina con acabados de lujo, se amplio terraza, 3 recamaras, 3 baños, baño completo de servicio, excelente vista, preciosas áreas comunes, corresponde una palapa en la playa con mucha distancia entre las demás. Atención inmediata Ver datos 98",213 m²,3 rec.,3 baños,2 estac.
Fraccionamiento Club Deportivo,+ 4,,"MN 45,000",,"Fraccionamiento Club Deportivo, Acapulco de Juárez","245 m²
4 rec.
4 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/acapulco-a-tu-alcance_50206472-inmuebles.html,Depto 3 Recamaras Torre Portofino Ocean Front Cerca del Club de Golf,"Depto Torre Portofino. • 245 mts. 2. • 3 Recamaras. • 4 Baños Completos. • Cuarto de Servicio. • Sala de T. V. (Opcional 4a. Recámara). • Cortinas Black Out y decorativas Motorizadas. • Aire Acondicionados en Todo el departamento. • Sonido Bosé en Todo el departamento. • WiFi. • Televisión de Paga Izzi (5 Televisores). • Estacionamiento asignado para Departamento. Casa Club. • Cuarto de Cómputo. • Salón de juegos para niños. • Sala de Cartas. • Sala de Billar. • Sala de Cine. • Cuartos de Masaje. • Cancha de Squash. • Área de usos múltiples para ejercitar. • Vapor / Sauna (Mujeres y Hombres individuales). • Gimnasio. • Restaurante (solo Semana Santa y Diciembre). • Alberca para Bebés. • Alberca para Niños. • Alberca para Adultos. • Tobogán acuático. • Servicio de Bares (Bebidas jugos, Licuados y Bebidas Alcohólicas, Frutas y Verduras ilimitadas y sin costo). • Acceso a playa (palapas y camastros exclusivos para el condominio). • Área de juegos para Niños en Jardín. • Jardín para eventos (sin Costo). • 3 Canchas de Tenis. • 1 Cancha de Paddle. • Estacionamiento para Visitas. • Servicio de Restaurante. (Temporada Alta) • Valet Parking (Temporada Alta). • Servicio de Bar (permanente) Horario de 9: 00 a 18: 00 Hrs. • Servicio Tintorería y Lavandería (externos). Permanente. • Mantenimiento del Departamento Electrico, Sanitario etc. Sin costo. • Seguro al departamento contra huracanes, temblores Siniestros (incluido en la cuota de mantenimiento). • Acceso Controlado. • Car Wash. • Recepción 24 Hras. • WiFi Todas las areas. • Vigilancia 24 Hras. • Servicio mantenimiento Aires acondicionado (Sin Costo) • Fumigación departamento (Sin Costo). ",245 m²,4 rec.,4 baños,1 estac.
Barra Diamante,+ 14,,"MN 100,000",,"Barra Diamante, Acapulco de Juárez","352 m²
6 rec.
5 baños
3 estac.",https://www.inmuebles24.com/inmobiliarias/red-inmobiliaria-norte_50163857-inmuebles.html,PH Acapulco Diamante con Vista Al Mar,"Hermoso Penthouse a la orilla del mar Acapulco Diamante. - 352 m2 de construcción en 2 plantas. - 6 recámaras con vestidores y closet, 2 de las principales vista al mar con salida a una terraza de 30m2 y 2 vista a la Laguna de Palos. - 5 baños completos. - Totalmente amueblado, moderno. - 2 terrazas de 30m2 cada una con espectacular vista 180 grados al mar, una en el piso 9 y otra en el piso 10. - sala, comedor, cocina equipada con barra de 4 servicios. - 3 lugares de estacionamiento. - snak bar, cafetería, con servicio de restaurante a la playa y al condominio con precios de recuperación. - Cancha Padel. - Salón de usos múltiples. - Gimnasio. - Spa y salón de belleza. - Alberca de 60 metros de largo con Jacuzzi y área de niños. - Seguridad 24 hrs. - Frente de playa 100 metros. - Unicamente 81 departamentos. Precio de Venta $17, 900, 000. Renta mensual $100, 000 incluye mantenimiento. Renta temporada Alta $ 25, 000 diario, máximo 14 personas. Renta temporada baja $ 15, 000 diario, mínimo 7 noches",352 m²,6 rec.,5 baños,3 estac.
Marina diamante,+ 7,,"MN 3,000",+ MN 1 Mantenimiento,"Barrio La Poza, Acapulco de Juárez","56 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/acapulco-a-tu-alcance_50206472-inmuebles.html,Renta de Bonito Departamento Amueblado en Marina Diamante por Mes y por Dia,"2 piso. 2 recamaras. 1 baño. Cocina integral equipada. Sala. Comedor. Aire acondicionafo. Closet. 2 camas matrimoniales. Estacionamiento. Alberca. Vigilancia. renta por mes $7, 000. 00 contrato minimo x 1 año. renta por dia minimo 2 noches $2, 000. 00 x noche $3, 000. 00 x noche en temp. Alta",56 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Marina Diamante,,,"MN 5,000",,"Fraccionamiento Marina Diamante, Acapulco de Juárez","64 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/inmobiliarios-profesionales-de-guerrero-a.c._50845362-inmuebles.html,Departamento en Renta,"Departamento en renta en el exclusivo fracc. Marina Diamante, Consta de: 2 recámaras. 1 baño. área de lavado. Cocina integral. Sala. Comedor. alberca. estacionamiento. Seguridad 24 hrs. Lagos artificiales. Jardines. Renta $5, 000 incluye el mantenimiento",64 m²,2 rec.,1 baño,1 estac.
Caleta,+ 4,,"MN 15,000",,"Barrio Cuerería, Acapulco de Juárez",,https://www.inmuebles24.com/inmobiliarias/terramar-consultores-inmobiliarios-del-pacifico_148299-inmuebles.html,Departamento en Renta en Caleta,"Terra Mar Bienes Raíces AcapulcoVenta-Renta-Administración& ConstrucciónRenta departamento, ubicado en Caleta Zona: Caleta Número de recámaras: 3-2 de las recámaras cuentan con vestidores Características: -Sala/ Comedor amplios con vista a la bahía -Cocina amplia -Cto de servicio con baño completo -Área de lavado-Aire acondicionado central-Filtros de agua potable-Línea telefónica-Bodega -Portón eléctrico Amenidades: -Alberca -Vigilancia Precio de renta mensual: $15, 000. 00 m. n Cuota de mantenimiento mensual: $3, 000. 00 m. n Cuota de mantenimiento anual: $36, 000. 00 m. n contáctanos Acapulco: Ver datos 484-68-65 Ver datos 484-73- 78 Ver datos 158-18- Facebook: Terra Mar Acapulco",,,,
Renta por noche 10 personas Olinala Princesa Acapulco Diamante,+ 8,,"MN 2,500",+ MN 400 Mantenimiento,"Fraccionamiento La Princesa, Acapulco de Juárez","120 m²
3 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/inmobiliarios-profesionales-de-guerrero-a.c._50845362-inmuebles.html,Renta por Noche 10 Personas Cerca del Mar Olinalá Princesa,"Renta vacacional en Acapulco Diamante, disfruta de tus vacaciones en Familia y crea hermosos recuerdos. Fraccionamiento Olinalá Princesa. Sobre el bulevar de las naciones. Ideal para 10 personas. 3 recamaras. 2 baños. cocina integral. estacionamiento. Cerca de centros comerciales y la playa, super accesible. Reserva ya¡¡",120 m²,3 rec.,2 baños,1 estac.
Simón Bolivar Zona Diamante,+ 16,,"MN 15,000",,"Granjas del Marqués, Acapulco de Juárez","219 m²
3 rec.
3 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/re-max-casavende-acapulco_51037575-inmuebles.html,Renta PH Zona Diamante,"Excelente Departamento ph nuevo en renta, dos niveles, en exclusivo desarrollo, muy cerca del Boulevard, y de Centros Comerciales, cuenta con: Planta baja, cocina Equipada, área de servicio, sala, comedor, 2 baños, 3 recamaras 4 aires acondicionado, lamparas, 5 ventiladores. Planta alta, 1 recamara, 1 baño, 1 cuarto con baño, roof garden con barra, cajón de estacionamiento, jardines, alberca y vigilancia las 24 horas. (4) ",219 m²,3 rec.,3 baños,1 estac.
Plan de los Amates,+ 7,,"MN 70,000",,"Plan de los Amates, Acapulco de Juárez","240 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/marta-elba-perez-romo_50251894-inmuebles.html,Venta y Renta Cond. Tres Cantos,"Cond. Tres cantos. 5o piso. 240 mts2. 4 recamaras. 4 baños. Master con una king con vista. 2a con días matrimoniales con vista. 3a dos matrimoniales y. 4a en literas. Dos individuales y dos matrimoniales. Amplia terraza. Cuarto de servicio con baño completo. Dos cajones de estacionamiento. Incluye mobiliario y equipo. 15, 000. 00 mto. Mensual",240 m²,4 rec.,4 baños,2 estac.
Fraccionamiento Navidad de Llano Largo,+ 3,,"MN 4,000",,"Fraccionamiento Navidad de Llano Largo, Acapulco de Juárez","1 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/acapulco-a-tu-alcance_50206472-inmuebles.html,Se Renta Departamento en Gaviotas,"Renta por año O por dia(mínimo dos noches). Departamento en primer nivel en fraccionamiento gaviotas. cuenta con áreas verdes Y alberca común. se encuentra muy cerca de centros comerciales, transporte público Y A minutos de la playa",1 m²,2 rec.,1 baño,1 estac.
MARINA DIAMANTE ,+ 9,,"MN 7,000",+ MN 1 Mantenimiento,"Fraccionamiento Marina Diamante, Acapulco de Juárez","64 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Renta Departamento Marina Diamante,"Departamento en renta en Marina Diamante Acapulco. 2 recámaras. 1 baño. tv. A/C en las 2 habitaciones. Sala. Comedor. Cocina integral. Área de servicio. Alberca común. Estacionamiento. club náutico. Ciclopista. Cancha de tenis. cancha de voleibol. muelle privado. Seguridad 24 hrs. $7, 000 mxn Renta mensual contrato de 6 meses a 1 año. Incluye mantenimiento, servicios aparte (Luz, agua, gas, internet, cable) $9, 000 mxn Renta mensual de 1 a 4 meses, incluye mantenimiento, servicios aparte (luz, agua, gas, internet, cable) ",64 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Costa Azul,,,"MN 48,000","+ MN 1,800 Mantenimiento","Fraccionamiento Costa Azul, Acapulco de Juárez","140 m²
3 rec.
3 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/claudia-leon_50969723-inmuebles.html,"Venta y Renta Departamento Costa. Acapulco, Gro.","Departamento en costa. Acapulco gro. Acapulco Condominio Costa (Junto a La Palapa). 3 recámaras. 3 baños. Sala/comedor. Amenidades: gimnasio. alberca. ludoteca. Renta en diciembre: 10 mil pesos diarios (incluye 2 días de limpieza). Luz incluida hasta 5 mil pesos (si excede será cubierta por el inquilino). Venta 7, 500, 000 mxn. Mantenimiento mensual de $18. 000 mxn. Renta mensual para todo el año: $48, 000 mxn al mes ya con mantenimiento. Solo clientes directos. Claudoa León. Ver datos",140 m²,3 rec.,3 baños,2 estac.
Fraccionamiento Marina Diamante,+ 13,,"MN 8,000",,"Fraccionamiento Marina Diamante, Acapulco de Juárez","90 m²
2 rec.
2 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/carmen-millan_51079385-inmuebles.html,Rento Depto Marina Diamante Planta Baja Dos Recámaras Dos Baños Alberca,"En renta contrato por año departamento prototipo Catamarán, en Marina Diamante a 500 mts. Del centro comercial la isla. Planta baja. Dos recámaras, dos baños, aire acondicionado, estancia, cocina integral, area de servicio. Terracita alfrente. Amplios jardines, con alberca grande y palapa. Estacionamiento. Vigilancia 24 hrs. $ 8, 000. 00 pesos mensuales incluye el mantenimiento",90 m²,2 rec.,2 baños,2 estac.
Fraccionamiento Playa Diamante,,,"MN 11,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","170 m²
5 rec.
4 baños
1 estac.",,Lindo Condominio Para Renta Vacacional Sobre Playa en Diamante,"Es un condominio muy amplio, sobre playa en diamante. muy bien decorado. cuenta con 5 recamaras. se renta para vacaciones Y tiene capacidad para 10 persona. tiene una gran alberca Y areas verdes bella. seguridad las 24 horas. la tarifa para año nuevo es de $1, 150 usd por noche, incluye servicio de aseo diario",170 m²,5 rec.,4 baños,1 estac.
Se Renta Increíble Departamento en Estas Vacaciones,+ 8,,"MN 2,500",,"Pueblo Barra Vieja, Acapulco de Juárez","2 rec.
2 baños",https://www.inmuebles24.com/inmobiliarias/terramar-consultores-inmobiliarios-del-pacifico_148299-inmuebles.html,Se Renta Increíble Departamento en Estas Vacaciones,"Terra Mar Bienes Raíces AcapulcoVenta-Renta-Administración& ConstrucciónRenta departamento, ubicado en zona Diamante Zona: DiamanteFracc/ Colonia: Camino a Barra ViejaNúmero de recámaras: 2 -Rec 1 ( 1 cama King) -Rec 2 ( 1 litera con 2 camas individuales +1 cama matrimonial) Número de baños: 2 Características: -Cto de limpieza -Sala/ Comedor -Terraza-2 lugares de estacionamiento Amenidades: -Vigilancia 24 hrs -Áreas verdes recreativas -Albercas grandesCapacidad máxima: 6 personas (Incluyendo bebes) Precio por noche -Temp. baja: $2, 500. 00 m. n -Temp. alta: $3, 500. 00 m. nObservaciones: *El departamento no cuenta con servicio de limpieza*El servicio de limpieza tiene un costo de $250. 00 m. n diarios contáctanos Acapulco: Ver datos 484-68-65 Ver datos 484-73- 78 Ver datos 158-18- Facebook: Terra Mar Acapulco",,2 rec.,2 baños,
Lomas DEL MAR,+ 10,,"MN 10,000",,"Fraccionamiento Club Deportivo, Acapulco de Juárez","120 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/casamar-bienes-raices_50265551-inmuebles.html,Departamento - Fraccionamiento Club Deportivo,"Departamento amueblado con excelente ubicacion en rentacuenta con 2 recamaras, 2 baños, cocina, sala comedor, cocina integral, balcon, estacionamiento para un auto, porton electrico, elevador, cuenta con internet, cable, telefon, gas Y agua. renta $10, 000. 00",120 m²,2 rec.,2 baños,1 estac.
Marina diamante,,,"MN 3,500",+ MN 1 Mantenimiento,"Barrio La Poza, Acapulco de Juárez","84 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/acapulco-a-tu-alcance_50206472-inmuebles.html,Bonito Departamento Renta por Mes y por Dia en La Marina Diamante,"Prototipò catamaran. renta por mes $9, 000. 00 renta por dia temporada alta $3, 500. 000 renta por dia temporada baja $2, 500. 00. 2 recamaras. 2 baños. Cocina integral. Aire acondicionado en sala comedor y recamaras. Cuenta con 2 camas matrimoniales y litera de 3 camas individualea. Enfrente de la alberca con chapoteadero y areas verdes. Muy bonito y comodo. Vigilancia. renta por mes $7, 500. 00",84 m²,2 rec.,2 baños,1 estac.
Fraccionamiento Las Playas,+ 8,,"MN 6,000",,"Fraccionamiento Las Playas, Acapulco de Juárez","73 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/acapulco-a-tu-alcance_50206472-inmuebles.html,Hermoso Departamento en Renta por Mes en Caleta,Planta baja. 2 recamaras ^ precio a tratar^ 1 baño. Alberca con cascada y resbaladilla. Jardin privado. Cocina integral equipada. Estufa electrica. Sala con sofa cama y aire acondicionado. Lavadora comun. Vigilancia 24 hrs. Cuarto con barra en el area de alberca. Palapa con mesa y sillas,73 m²,2 rec.,1 baño,1 estac.
Apolonio Castillo,+ 2,,"MN 4,500",,"Apolonio Castillo, Acapulco de Juárez","50 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/inmobiliaria-gm_51064963-inmuebles.html,Renta de Departamento en Acapulco Real del Palmar,"Renta de departamento en Acapulco Real del Palmar. Primer nivel, 2 recámaras, 1 baños, sala, comedor, cocina, a/a, tv, estacionamiento, alberca, control de acceso. Capacidad máxima 6 personas. Precio por mes $4, 500. 00 contrato anual, incluye cuota de mantenimiento. Informes al Ver datosInmogm. mx",50 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Marina Diamante,,,"MN 1,500",,"Fraccionamiento Marina Diamante, Acapulco de Juárez","1 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Departamento en Marina Diamante,"Departamento en renta marina diamante, Características principales. *2 recámaras. *1 baños. *Alberca. *Aire acondicionado. *Capacidad 8 personas. *Seguridad. *Estacionamiento. *Wifi. *Primer nivel. *Tv. *Sala. *Cocina. *Comedor. *Renta por día temporada baja $1400. *Renta por día temporada alta $2, 500",1 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Playa Diamante,+ 3,,"MN 55,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","248 m²
3 rec.
3 baños
2 estac.",,Costa Bamboo Sobre Playa en Diamante Renta Para Vacaciones,"Condominio exclusivo Y con seguridad las 24 horas. ubicado sobre playa en costera las palmas. vista magnifica al mar, acabados de lujo, muy bien decorado Y equipado. muy amplio cuenta con 248 M2 de sup de construcion. 3 amplias recamaras cada una con baño Y terraza. canchas de paddle. la capacidad es para 8 personas. se renta en temporada baja $7000 minimo 3 dias. temporada alta $12, 000 por noche, minimo 7 noches. incluye el aseo diario",248 m²,3 rec.,3 baños,2 estac.
Boulevard Barra vieja 200,+ 7,,"MN 83,000",,"Barra Diamante, Acapulco de Juárez","265 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/claudia-leon_50969723-inmuebles.html,Renta Depto en Ocean Front Acapulco Diamante Renta por Año o Noche.,"Departamento en ocean front acapulco diamante! 265 M2. Un departamento por piso. Torre principal. Elevador directo al depto. Piso 6. 4 Recamaras. 4 Baños. Family Room. Sala. Comedor. Cocina equipada. Cuarto de servicio. Terraza de gran tamaño. Amenidades. Gimnasio. Área de spa. Jacuzzi. Palapa bar. Alberca. Playa privada. Con una vista impresionante! Renta mensual $83, 000 más servicios corren por cuenta del cliente. Renta por noche $14, 500 temporada baja. Renta temporada alta $18, 000 por noche. Estadia mínima de 5 noches. Claudia León. Ver datos",265 m²,4 rec.,4 baños,2 estac.
joyas de brisamar,+ 42,,"MN 15,000",,"Fraccionamiento Joyas de Brisamar, Acapulco de Juárez","139 m²
3 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Apartamento con Vista Espectacular en Venta y Renta Fracc. Joyas de Brisamar,"Apartamento con vista espectacular en venta Y renta en acapulco fraccionmaiento joyas de brisamar. el apartamento tiene una vista maravillosa A toda la bahia de acpaulco, cuenta con: 3 habitaciones. 2 baños. cocina integral con barra. cuarto de lavado. terraza con jacuzzi privado, asador Y amueblado de sala Y comedor, para disfrutar de la maravillosa vista. Estacionamiento. 2 albercas comunales. seguridad 24 horas. $2, 800, 000 precio de venta. $15, 000 precio de renta mensual. $3, 000 precio de renta por noche. cita E informes al. tatiana castro Y saida guzman. tel: Ver datos Y Ver datos. correo: Ver datos. Ver datos",139 m²,3 rec.,2 baños,1 estac.
Fraccionamiento Playa Guitarrón,+ 11,,"MN 36,000",,"Fraccionamiento Playa Guitarrón, Acapulco de Juárez","450 m²
4 rec.
4 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/marta-elba-perez-romo_50251894-inmuebles.html,Renta y Venta Exclusivo Depto. Villas del Sha,"Exclusivo cond. Villas del sha. • fracc. Guitarron. • excelente vista A la bahia, son tres torres con tres deptos por piso, 5 pisos Y dos ph. • elevador. • precioso departamento de 4 recamaras, todas baño Y A/A. • la master con una king, 2ª. Una king con tele, 3ª. Dos matrinomiales con tele Y la cuarta con dos matrimoniales Y se sacan dos mas debajo. • family room. • jacuzzi. • bar. • sala Y comedor abiertos. • cuarto de servicio con dos individuales Y baño completo. amenidades: • recepcion. • tres albercas, jacuzzi, alberca de mar, muelle, palapa bar, solo bebidas Y papas, chicharrones, etc. , precios A costo de recuperacion. • mesa de pinpon, billar, ajedrez gigante para niños. • se permite bajar comida en las terrazas de las albercas. • carrito de golf para transportarlos A las albercas. • dos cajones de estacionamiento techados. • vigilancia las 24 horas. renta por año. $100, 000. 00 M. N. Mensuales",450 m²,4 rec.,4 baños,2 estac.
Lomas DEL MAR,+ 18,,"MN 1,500",,"Fraccionamiento Club Deportivo, Acapulco de Juárez","55 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/casamar-bienes-raices_50265551-inmuebles.html,Departamento - Fraccionamiento Club Deportivo,"Departamento amueblado en renta por dia con ubicacion privilegiada, atras club de golfcuenta con 2 recamaras. Un baño, sala comedor, cocina equipada, alberca, estacionamiento un autorenta por 4 personas $1, 500. 00 persona adicional $350. 00",55 m²,2 rec.,1 baño,1 estac.
Departamento EN Venta O Renta Hornos Insurgentes,+ 18,,"MN 8,000",,"Hornos Insurgentes, Acapulco de Juárez","195 m²
3 rec.
3 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/casamar-bienes-raices_50265551-inmuebles.html,Departamento - Hornos Insurgentes,"Departamento enorme en venta O renta, excelente ubicacion, tres recamaras cada una con su baño mas medio baño de visitas, area de servicio, amplia cocina, vista al mar, dos estacionamientos, area de alberca Y enorme terraza con vista de 360°. ",195 m²,3 rec.,3 baños,2 estac.
CLUB DE PLAYAMAR 2,+ 6,,"MN 55,000",,"Plan de los Amates, Acapulco de Juárez","178 m²
4 rec.
5 baños
2 estac.",https://www.inmuebles24.com/inmobiliarias/mac-vende_50012976-inmuebles.html,Se Renta Escpectacular Departamento en Punta Diamante Acapulco,"Se renta espectacular departamento en club de playamar 2. Excelente departamento, vista espectacular, área común muy amplia, con gran plusvalía en zona diamante. Cerca del estadio mex-tenis, A solo 5 minutos del aeropuerto Y del centro comercial la isla frente al forum. Cuenta con: 178 M2 de construcción. 4 recámaras, cada una con baño completo, sala, comedor, terraza, cocina integral, cuarto de servicio con baño integrado. 2 estacionamientos. Alberca. elevador. precio de renta: $55, 000. 00",178 m²,4 rec.,5 baños,2 estac.
MARINA DIAMANTE OCEANIS sn,+ 18,,"MN 8,500",,"Fraccionamiento Marina Diamante, Acapulco de Juárez","86 m²
2 rec.
2 baños",https://www.inmuebles24.com/inmobiliarias/century-21-lol-y-asociados_50093815-inmuebles.html,"Renta Departamento en Fracc. Marina Diamante, Acapulco","Renta de departamento en el Fraccionamiento Marina Diamante, ubicado en planta baja, totalmente amueblado y climatizado; es uno de los departamentos más grandes en su tipo, 2 recámaras con área de guardado, la principal con baño completo, la segunda recámara comparte baño completo con el área de visitas; además del aire acondicionado en la sala, cuenta con un ventilador de techo; cocina integral, área de lavado y tendido, pequeña terraza al aire libre, alberca con palapa y asoleadero y 2 estacionamientos en forma de batería; Marina diamante se caracteriza por el acceso a la laguna de Tres palos, donde puedes practicar juegos acuáticos, cancha de tenis, lagos artificiales, ciclopistas y seguridad 24/7; Además de la cercanía al Aeropuerto y Viaducto diamante, al centro comercial más grande de la zona, La Isla Shopping Village, hermosas playas, restaurantes, soriana selecto, cruz roja, forum mundo imperial y tiendas de conveniencia",86 m²,2 rec.,2 baños,
marina diamante ,+ 25,,"MN 7,000",,"Fraccionamiento Marina Diamante, Acapulco de Juárez","64 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Renta Departamento Marina Diamante,"Departamento en renta en Marina Diamante Acapulco. 2 recámaras. 1 baño. tv. A/C en las 2 habitaciones. Sala. Comedor. Cocina integral. Área de servicio. Alberca común. Estacionamiento. club náutico. Ciclopista. Cancha de tenis. cancha de voleibol. muelle privado. Seguridad 24 hrs. $7, 000 mxn Renta mensual contrato de 6 meses a 1 año. Incluye mantenimiento, servicios aparte (Luz, agua, gas, internet, cable) $9, 000 mxn Renta mensual de 1 a 4 meses, incluye mantenimiento, servicios aparte (luz, agua, gas, internet, cable) tatiana castro Y saida guzman. tel: Ver datos Y Ver datos. correo: Ver datos. Ver datos",64 m²,2 rec.,1 baño,1 estac.
MARINA DIAMANTE ,+ 15,,"MN 1,500","+ MN 1,200 Mantenimiento","Fraccionamiento Marina Diamante, Acapulco de Juárez","65 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Venta de Departamento Marina Diamante Roof Garden,"Departamento prototipo Kayak con Roof Garden equipado excelentes acabados consta de 2. recámaras, 1 baño, cocina integral, área de servicio, sala, comedor, estacionamiento. Con muebles. Incluye: equipos de aire acondicionado. Amenidades: jardín, alberca, palapa, ciclo pista, club náutico. Seguridad las 24 horas, cámaras de vigilancia acceso controlado. Entorno; Laguna, tiendas de autoservicio, centro comerciales, mueblerías, restaurantes, bancos, a 10 minutos de playa, autopista",65 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Costa Azul,+ 5,,"MN 10,000",,"Fraccionamiento Costa Azul, Acapulco de Juárez","100 m²
2 rec.
2 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/inmobiliarios-profesionales-de-guerrero-a.c._50845362-inmuebles.html,"A Unos Pasos de La Playa en Acapulco, Lindos Departamentos en Renta Economicos","Departamentos en renta en sol del mar en acapulco, A unos pasos de la playa, zona costa azul. por el baby' O. 2 recamaras con aire acondicionado y baño completo, sala, comedor, cocina con lo básico, estilo mexicano! Centro de lavado con lavadoras y secadoras, Alberca, Agua incluida, Seguridad 24 hrs, Estacionamiento. A unos pasos del mar, zona Costa Azul ubicados muy cerca de todo, bancos, restaurantes, cines, tiendas comerciales y de entretenimiento, iglesias, hoteles, notarías, clubs y centros nocturnos. A solo pasos de Wallmart. precio de renta $10, 000. 00 y $11, 000. 00 amueblados, renta por año y por dia. ",100 m²,2 rec.,2 baños,1 estac.
Fraccionamiento Guitarron,+ 5,,"MN 16,000",,"Fraccionamiento Playa Guitarrón, Acapulco de Juárez","4 rec.
4 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/duran-bienes-raices_51197142-inmuebles.html,Departamento - Fraccionamiento Playa Guitarrón,,,4 rec.,4 baños,1 estac.
Fraccionamiento Marina Diamante,+ 1,,"MN 1,500",,"Fraccionamiento Marina Diamante, Acapulco de Juárez","1 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Renta de Departamento en Marina Diamante Criter,Departamento planta baja. cuenta con. 2 recamaras. 1 baño. alberca comun. estacionamiento para un coche. 1500 por noche tb. 2500 ta,1 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Marina Diamante,+ 10,,"MN 7,000",+ MN 1 Mantenimiento,"Fraccionamiento Marina Diamante, Acapulco de Juárez","66 m²
2 rec.
1 baño
1 estac.",https://www.inmuebles24.com/inmobiliarias/lars-group_51156671-inmuebles.html,Departamento en Marina Diamante Renta Mensual,Renta de departamento planta baja en marina dimante. renta mensual 7000. 2 recamaras. 1 baño. alberca. estacionamiento. seguridad las 24 horas. planta baja,66 m²,2 rec.,1 baño,1 estac.
Fraccionamiento Puerto Marqués,+ 12,,"MN 4,000",,"Fraccionamiento Puerto Marqués, Acapulco de Juárez","180 m²
2 baños
2 estac.",,Fantástico Departamento en Cluster en Diamante Lakes,"2 recamaras. Rec principal 1 cama queen. Rec 2 dos literas 5 camas individuales. 2 Baños completos. Temporada baja $1, 499. Puentes $2, 500. Semana Santa $3, 200 (mínimo 6 noches) Navidad $3, 500 (mínimo 6 noches) Año Nuevo $3, 999 (mínimo 6 noches) Amenidades: Alberca, Jacuzzi, Cancha de tennis, Gimnasio y Spa. ",180 m²,,2 baños,2 estac.
Fraccionamiento Club Deportivo,+ 4,,"MN 3,500",,"Fraccionamiento Club Deportivo, Acapulco de Juárez","177 m²
3 rec.
3 baños
1 estac.",https://www.inmuebles24.com/inmobiliarias/century-21-star_157269-inmuebles.html,Departamento en Playa,"Renta de departamento por noche desde $3, 500 mx mínimo 3 noches, buena ubicación en el Fracc. Club Deportivo. ",177 m²,3 rec.,3 baños,1 estac.
Fraccionamiento Playa Diamante,,,"MN 55,000",,"Fraccionamiento Playa Diamante, Acapulco de Juárez","248 m²
3 baños
2 estac.",,Costa Bambu Cond. Sobre Playa en Diamante Renta por Año y Vacaciones,"Excelente condominio. cuenta con 3 recamaras. capacidad para 8 personas. tarifa para verano `por noche; $7, 000. tarifa para año nuevo ; $12, 000. por año $70, 000 mensuales",248 m²,,3 baños,2 estac.
